category,coordinates,startTime,endTime,from,to,type
Jam,"(-118.2504241863, 34.0264378708)",2024-03-16 06:17:00+00:00,2024-03-16 07:06:00+00:00,San Pedro St (I-10),I-5/US-101 (I-10),Feature
Road Closed,"(-118.2204652527, 34.2088576303)",2024-03-16 05:01:22+00:00,2024-03-16 12:59:22+00:00,exit [18],Ocean View Blvd,Feature
Accident,"(-118.2181907394, 34.0710202517)",2024-03-16 06:28:00+00:00,,Main St (I-5),CA-110/Pasadena Fwy (I-5),Feature
Jam,"(-118.2167490521, 34.0686183225)",2024-03-16 06:31:30+00:00,2024-03-16 07:09:00+00:00,Main St (I-5),Humboldt St (I-5),Feature
Road Closed,"(-118.2155085304, 33.7806536793)",2024-03-15 23:23:22+00:00,,Santa Fe Ave,W Anaheim St / E I St,Feature
Jam,"(-118.2149720886, 34.0467475952)",2024-03-16 06:39:00+00:00,2024-03-16 07:04:00+00:00,Cesar E Chavez Ave (I-10/I-5),E 7th St (I-5),Feature
Road Closed,"(-118.2093957761, 34.0545514293)",2024-03-16 04:01:00+00:00,2024-03-16 11:59:00+00:00,I-10 W,N State St,Feature
Accident,"(-118.2055548528, 33.7771265221)",2024-03-16 06:39:00+00:00,,W Ocean Blvd (Shoreline Dr & I-710 Conn),I-710/Long Beach Fwy (Shoreline Dr & I-710 Conn),Feature
Road Closed,"(-118.195586423, 34.020553145)",2024-03-16 04:01:17+00:00,2024-03-16 12:59:17+00:00,Indiana St exit [132],I-5 S,Feature
Road Closed,"(-118.1969275275, 33.8760142537)",2024-03-15 11:51:01+00:00,2024-03-17 06:59:00+00:00,Butler Ave,Coachella Ave,Feature
Jam,"(-118.1790908375, 33.9771657079)",2024-03-16 06:42:00+00:00,2024-03-16 07:06:00+00:00,E Gage Ave,Randolph St,Feature
Jam,"(-118.1757635572, 33.9505930343)",2024-03-16 06:37:30+00:00,2024-03-16 07:06:00+00:00,I-710/Long Beach Fwy (Firestone Blvd),Atlantic Ave (Firestone Blvd),Feature
Road Closed,"(-118.1711059013, 34.1531105342)",2024-02-22 11:44:30+00:00,,Linda Glen Dr,Paso Alto Dr,Feature
Road Closed,"(-118.1696642139, 34.1512947136)",2024-02-22 11:40:30+00:00,,Paso Alto Dr,Linda Glen Dr,Feature
Road Closed,"(-118.1704179147, 34.1430375027)",2024-03-16 02:01:00+00:00,2024-03-16 14:59:00+00:00,Linda Vista Ave exit [12],State Route 134,Feature
Road Closed,"(-118.1675144234, 33.8106689392)",2024-03-15 08:20:22+00:00,2024-03-18 06:59:00+00:00,Cherry Ave,E Spring St,Feature
Road Closed,"(-118.1670530835, 33.8108620608)",2024-03-15 08:20:22+00:00,2024-03-18 06:59:00+00:00,E Spring St,Cherry Ave,Feature
Accident,"(-118.1669940749, 34.0387787067)",2024-03-16 06:24:00+00:00,,Michigan Ave,E Cesar E Chavez Ave,Feature
Road Closed,"(-118.1603019634, 34.099717182)",2024-03-16 00:37:20+00:00,,Valley View Rd,Camino Lindo,Feature
